Sinuosity_Index,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Has_Zebra_Crossing,Has_Streetlight_Infrastructure,Elevation_Gradient_Pct,Road_Type_residential,Road_Type_trunk,Road_Type_unclassified,Baseline_Traffic_Volume_Low,Topography_Flat,Topography_Uphill,Is_Hotspot_Actual,Predicted_Hotspot,Data_Type
1.0044,56.8,2,70,0,0,3.0,False,True,False,False,False,True,0,1,Real
1.3726,1726.88,2,60,0,0,-5.0,False,True,False,False,False,False,0,0,Real
1.0815,1872.21,2,60,0,0,-4.0,False,True,False,False,False,False,0,0,Real
1.0334,141.44,2,60,0,0,8.5,False,True,False,False,False,True,0,1,Real
1.0255,775.76,2,70,0,0,-7.0,False,True,False,False,False,False,0,0,Real
1.3618,1066.0,2,60,0,0,35.5,False,True,False,False,False,True,0,0,Real
1.0981,187.45,2,60,0,0,14.0,False,True,False,False,False,True,0,1,Real
1.3316,590.79,2,60,0,0,2.5,False,False,False,False,False,True,0,0,Real
1.2323,1967.05,2,60,0,0,-8.0,False,True,False,False,False,False,0,0,Real
1.0979,925.24,2,60,0,0,-4.5,False,True,False,False,False,False,0,0,Real
1.0053,571.42,2,60,0,0,10.5,False,True,False,False,False,True,0,0,Real
1.0672,169.79,2,60,0,0,-3.5,False,False,False,False,False,False,0,0,Real
1.1176,1473.5,2,60,0,0,11.0,False,True,False,False,False,True,0,0,Real
1.039,81.87,2,60,0,0,-12.5,False,False,False,False,False,False,0,0,Real
1.049,180.98,2,60,0,0,7.0,False,True,False,False,False,True,1,1,Real
1.6215,49.24,2,60,0,0,33.0,False,False,False,False,False,True,0,0,Real
1.0118,128.47,2,70,0,0,7.5,False,True,False,False,False,True,1,1,Real
1.7262,60.65,2,60,0,0,-5.0,False,False,False,False,False,False,0,0,Real
1.0154,1566.35,2,60,0,0,0.0,False,True,False,False,True,False,0,0,Real
1.1293,2201.39,2,60,0,0,2.5,False,True,False,False,False,True,0,0,Real
1.0449,500.88,2,60,0,0,-8.5,False,True,False,False,False,False,0,1,Real
1.0308,317.48,2,60,0,0,-7.5,False,False,False,False,False,False,0,0,Real
1.122,44.02,2,60,0,0,31.9,False,True,False,False,False,True,0,0,Real
1.3625,1598.43,2,60,0,0,5.0,False,True,False,False,False,True,0,0,Real
1.0443,1360.02,2,60,0,0,-5.5,False,True,False,False,False,False,0,0,Real
1.0617,174.78,2,60,0,0,-4.0,False,True,False,False,False,False,0,1,Real
1.066,484.7,2,60,0,0,11.5,False,True,False,False,False,True,0,1,Real
1.0,266.77,2,60,0,0,0.0,False,False,False,False,True,False,0,0,Real
1.7055,335.62,2,60,0,0,6.0,False,False,False,False,False,True,0,0,Real
1.1281,352.29,2,60,0,0,5.0,False,False,False,False,False,True,0,0,Real
1.1256,162.44,2,70,0,0,-10.5,False,True,False,False,False,False,1,1,Real
1.029,57.11,2,60,0,0,7.0,False,True,False,False,False,True,0,0,Real
1.0034,66.6,2,60,0,0,14.45,False,False,False,False,False,True,0,0,Real
1.1143,125.46,2,60,0,0,-4.0,False,False,False,False,False,False,0,0,Real
1.0005,124.74,2,70,0,0,0.0,False,True,False,False,True,False,0,1,Real
1.1517,74.46,2,60,0,0,-0.58,False,False,False,False,True,False,0,0,Real
1.0469,1348.58,2,60,0,0,-4.62,False,True,False,False,False,False,0,0,Real
1.0461,188.93,2,60,0,0,3.0,False,True,False,False,False,True,0,1,Real
1.1149,163.43,2,70,0,0,2.0,False,True,False,False,False,True,0,1,Real
2.0456,46.21,2,60,0,0,6.5,False,False,False,False,False,True,0,0,Real
1.0233,2034.03,2,60,0,0,10.5,False,True,False,False,False,True,0,0,Real
1.1306,86.85,2,60,0,0,8.0,False,False,False,False,False,True,0,0,Real
1.0265,168.37,2,70,0,0,4.5,False,True,False,False,False,True,0,1,Real
1.0634,277.89,2,70,0,0,2.0,False,True,False,False,False,True,1,1,Real
1.1962,179.68,2,60,0,0,12.0,False,False,False,False,False,True,0,0,Real
2.001,82.87,2,60,0,0,-8.0,False,True,False,False,False,False,1,0,Real
1.0593,75.11,2,60,0,0,14.0,False,False,False,False,False,True,0,0,Real
1.0091,80.49,2,60,0,0,-5.5,False,False,False,False,False,False,0,0,Real
1.0557,36.04,2,70,0,0,-0.5,False,True,False,False,True,False,0,1,Real
1.0128,123.14,2,60,0,0,-1.0,False,False,False,False,True,False,0,0,Real
1.3277,71.03,2,60,0,0,-8.5,False,False,False,False,False,False,0,0,Real
1.0161,172.58,2,70,0,0,-0.83,False,True,False,False,True,False,0,1,Real
1.1266,1638.0,2,60,0,0,-18.5,False,True,False,False,False,False,0,0,Real
1.0432,90.33,2,70,0,0,0.0,False,True,False,False,True,False,0,1,Real
1.0765,148.17,1,25,0,0,17.0,True,False,False,True,False,True,0,0,Real
1.1398,1491.31,2,60,0,0,17.0,False,True,False,False,False,True,0,0,Real
1.1736,85.22,2,60,0,0,18.0,False,True,False,False,False,True,0,0,Real
1.0843,121.31,2,60,0,0,4.5,False,False,False,False,False,True,0,0,Real
1.0586,1386.1,2,60,0,0,21.5,False,True,False,False,False,True,0,0,Real
1.0329,1642.05,2,60,0,0,-63.5,False,True,False,False,False,False,0,0,Real
1.0187,1721.88,2,60,0,0,12.5,False,True,False,False,False,True,0,0,Real
1.1285,172.54,2,60,0,0,-6.0,False,True,False,False,False,False,1,1,Real
1.0205,112.43,2,70,0,0,4.0,False,True,False,False,False,True,1,1,Real
1.5161,60.84,2,60,0,0,-15.5,False,False,False,False,False,False,0,0,Real
1.1158,351.88,2,60,0,0,12.0,False,False,False,False,False,True,0,0,Real
1.0378,60.35,2,60,0,0,9.8,False,True,False,False,False,True,0,0,Real
1.7817,1259.27,2,60,0,0,-14.5,False,True,False,False,False,False,0,0,Real
1.3064,43.54,2,70,0,0,3.5,False,True,False,False,False,True,0,0,Real
1.5494,152.11,2,60,0,0,1.5,False,False,False,False,True,False,0,0,Real
1.209,124.11,2,70,0,0,8.0,False,True,False,False,False,True,0,0,Real
1.0621,717.06,2,60,0,0,-31.5,False,True,False,False,False,False,0,0,Real
1.5512,1557.33,2,60,0,0,-7.5,False,True,False,False,False,False,0,0,Real
1.1288,1005.66,2,60,0,0,-9.0,False,True,False,False,False,False,0,0,Real
1.1782,65.36,2,70,0,0,9.0,False,True,False,False,False,True,0,0,Real
1.0584,49.76,2,60,0,0,18.5,False,False,False,False,False,True,0,0,Real
1.0352,245.99,2,70,0,0,-2.0,False,True,False,False,False,False,0,1,Real
1.0006,94.37,2,70,0,0,-40.91,False,True,False,False,False,False,1,1,Real
1.1912,407.43,2,60,0,0,-2.5,False,False,False,False,False,False,0,0,Real
1.0107,135.68,2,70,0,0,-9.0,False,True,False,False,False,False,0,1,Real
1.0882,225.82,2,60,0,0,12.0,False,True,False,False,False,True,1,1,Real
1.1741,110.84,2,60,0,0,-7.5,False,False,False,False,False,False,0,0,Real
1.0345,352.96,2,60,0,0,-8.5,False,True,False,False,False,False,0,1,Real
1.5581,64.2,1,15,0,0,-12.0,False,False,True,True,False,False,0,0,Real
1.1899,1304.93,2,60,0,0,12.0,False,True,False,False,False,True,0,0,Real
1.0078,222.53,2,70,0,0,6.5,False,True,False,False,False,True,1,1,Real
1.1446,158.4,2,60,0,0,17.5,False,False,False,False,False,True,0,0,Real
1.0702,42.11,1,25,0,0,-23.0,True,False,False,True,False,False,0,0,Real
1.0506,629.58,1,70,0,0,14.99,False,True,False,False,False,True,0,0,Real
1.1038,2134.37,2,60,0,0,9.0,False,True,False,False,False,True,1,0,Real
1.0173,248.8,2,70,0,0,-8.5,False,True,False,False,False,False,0,1,Real
1.2509,81.24,2,70,0,0,6.0,False,True,False,False,False,True,0,0,Real
1.0324,427.65,2,60,0,0,-10.5,False,True,False,False,False,False,1,1,Real
1.2799,137.28,1,25,0,0,5.5,True,False,False,True,False,True,0,0,Real
1.1971,83.52,2,60,0,0,2.0,False,False,False,False,False,True,0,0,Real
1.2542,218.91,2,60,0,0,-5.5,False,True,False,False,False,False,0,0,Real
1.0341,104.54,2,60,0,0,0.5,False,False,False,False,True,False,0,0,Real
1.0,1292.9,2,60,0,0,0.0,False,True,False,False,True,False,0,0,Real
