Road_Name,Road_Type,Segment_Index,Start_Lat,Start_Lon,End_Lat,End_Lon,Length_Meters,Sinuosity_Index,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Road_Surface,Has_Zebra_Crossing,Has_Streetlight_Infrastructure,Baseline_Traffic_Volume,Road_Condition,Start_Elevation_m,End_Elevation_m,Elevation_Gradient_Pct,Topography,Accident_Count,Is_Hotspot
Badulla-Bandarawela Road 1,trunk,1,6.855906,81.021408,6.85489,81.019965,200,1.0255,775.76,2,70,asphalt,0,0,High,Good,1056,1042,-7,Downhill,0,0
Badulla-Bandarawela Road 1,trunk,2,6.85489,81.019965,6.854301,81.018356,200,1.0564,592.08,2,70,asphalt,0,0,High,Good,1042,1061,9.5,Uphill,0,0
Badulla-Bandarawela Road 1,trunk,3,6.854301,81.018356,6.853646,81.016732,200,1.0337,421.39,2,70,asphalt,0,0,High,Good,1061,1064,1.5,Flat,1,1
Badulla-Bandarawela Road 1,trunk,4,6.853646,81.016732,6.852138,81.015848,200,1.0352,245.99,2,70,asphalt,0,0,High,Good,1064,1060,-2,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,1,6.841304,81.054976,6.842976,81.05533,200,1.0586,1386.1,2,60,asphalt,0,0,High,Good,637,680,21.5,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,2,6.842976,81.05533,6.844179,81.056645,200,1.0154,1566.35,2,60,asphalt,0,0,High,Good,680,680,0,Flat,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,3,6.844179,81.056645,6.845415,81.057103,200,1.3726,1726.88,2,60,asphalt,0,0,High,Good,680,670,-5,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,4,6.845415,81.057103,6.84624,81.058559,200,1.0815,1872.21,2,60,asphalt,0,0,High,Good,670,662,-4,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,5,6.84624,81.058559,6.847341,81.059943,200,1.0233,2034.03,2,60,asphalt,0,0,High,Good,662,683,10.5,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,6,6.847341,81.059943,6.848943,81.059925,200,1.1293,2201.39,2,60,asphalt,0,0,High,Good,683,688,2.5,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,7,6.848943,81.059925,6.850552,81.059612,200,1.1038,2134.37,2,60,asphalt,0,0,High,Good,688,706,9,Uphill,1,1
Wellawaya-Ella-Kumbalwela Road 1,trunk,8,6.850552,81.059612,6.851981,81.059949,200,1.2323,1967.05,2,60,asphalt,0,0,High,Good,706,690,-8,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,9,6.851981,81.059949,6.853337,81.059019,200,1.1005,1811.08,2,60,asphalt,0,0,High,Good,690,782,46,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,10,6.853337,81.059019,6.855017,81.059515,200,1.0329,1642.05,2,60,asphalt,0,0,High,Good,782,655,-63.5,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,11,6.855017,81.059515,6.855753,81.05805,200,1.104,1506.11,2,60,asphalt,0,0,High,Good,655,789,67,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,12,6.855753,81.05805,6.857425,81.058332,200,1.067,1372.3,2,60,asphalt,0,0,High,Good,789,727,-31,Downhill,2,1
Wellawaya-Ella-Kumbalwela Road 1,trunk,13,6.857425,81.058332,6.858831,81.057858,200,1.2194,1202.38,2,60,asphalt,0,0,High,Good,727,758,15.5,Uphill,0,0
